Quantity,Manufacturer Part Number,Customer Reference,Description
1,TAJR105M016RNJ,C1,Tantalum 1uF 16V 0805
2,TAJP475K016RNJ,"C2,C3",Tantalum 4u7 16V 0805
1,C1608X5R1A226M080AC,C5,MLCC 22uF 10V X5R 0603
1,MSASJ21GBB5476MTNA01,C6,MLCC 47uF 0805
3,T529P106M010AAE200,"C16,C18,C20",Kemet KO-CAP polymer tant 10uF 10V 0805
1,DFE201610E-1R0M,L1,TPS63020 switching inductor 1uH
1,LQW15AN8N0G8ZD,L2,Bias-T RF choke 8.0nH wire-wound 0402
1,1N4148W,D1,Switching diode SOD-123
1,USBLC6-2SC6,D2,USB ESD protection SOT-23-6
1,BQ24075RGTR,U1,Battery charger / power path VQFN-16
1,TPS63020DSJR,U2,Buck-boost regulator VSON-14
1,STM32F765VIT6,U3,MCU Cortex-M7 2MB flash LQFP-100
1,ZED-F9P-05B-00,U4,GNSS RTK module
1,USB3300-EZK-TR,U8,ULPI USB PHY QFN-32
1,LSM6DSRXTR,U7,IMU accel+gyro LGA-14
1,USB4105-GF-A,J1,USB-C receptacle
1,B2B-PH-SM4-TB(LF)(SN),J3,JST PH 2-pin battery connector
1,MEM2052-00-195-00-A,J6,microSD card socket push-push
1,ASTX-H11-16.000MHZ-T,Y1,TCXO 16MHz STM32 HSE
1,ASTX-H11-24.000MHZ-T,Y2,TCXO 24MHz USB3300
