Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,TAJR105M016RNJ,KYOCERA AVX,CAP TANT 1UF 20% 16V 0805,,"20,737",In Stock,,1,1,Cut Tape (CT),478-3050-1-ND,0.30000,£0.30,1,C1,TAJR105M016RNJ,13,https://datasheets.kyocera-avx.com/TAJ.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.21.0050,El Salvador,,C1,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5557/478_Capacitor-Tan-Case-Code-R.jpg,
2,TAJP475K016RNJ,KYOCERA AVX,CAP TANT 4.7UF 10% 16V 0805,,"6,135",In Stock,,2,2,Cut Tape (CT),478-TAJP475K016RNJCT-ND,0.80000,£1.60,1,"C2, C3",TAJP475K016RNJ,25,https://datasheets.kyocera-avx.com/TAJ.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.21.0050,Czech Republic,,"C2,C3",Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2490/CERAMIC%20NULL%20SERIES%200805.jpg,
3,C1608X5R1A226M080AC,TDK,CAP CER 22UF 10V X5R 0603,,"1,530,197",In Stock,,1,1,Cut Tape (CT),445-9077-1-ND,0.22000,£0.22,1,C5,C1608X5R1A226M080AC,24,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/rohs/mlccrohs_commercial_general_en.pdf?ref_disty=digikey|https://product.tdk.com/en/environment/index.html,C5,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg,
4,MSASJ21GBB5476MTNA01,Taiyo Yuden,CAP CER 47UF 6.3V X5R 0805,,"1,817",In Stock,,1,1,Cut Tape (CT),587-MSASJ21GBB5476MTNA01CT-ND,0.24000,£0.24,1,C6,MSASJ21GBB5476MTNA01,14,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5731/MSR01_e.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Malaysia,,C6,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4198/MFG_MSASJ21GBB5476MTNA01.jpg,
5,T529P106M010AAE200,KEMET,CAP TANT POLY 10UF 10V 0805,,"84,669",In Stock,,3,3,Cut Tape (CT),399-17689-1-ND,1.03000,£3.09,1,"C16,C18,C20",T529P106M010AAE200,18,https://yageogroup.com/content/datasheet/asset/file/KEM_T2076_T52X-530,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),EAR99,8532.21.0050,Thailand,,"C16,C18,C20",Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/533/MFG_T529.jpg,
6,STM32F765VIT6,STMicroelectronics,IC MCU 32BIT 2MB FLASH 100LQFP,,"4,652",In Stock,,1,1,Tray,497-16631-ND,15.94000,£15.94,1,U3,STM32F765VIT6,30,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/c5/37/9c/1d/a6/09/4e/1a/DM00273119/files/DM00273119.pdf/jcr:content/translations/en.DM00273119.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),3A991A2,8542.31.0025,Philippines,,STM32F765VIT6,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6249/497%7E1L_ME%7ET%7E100.jpg,
7,LSM6DSRXTR,STMicroelectronics,CONSUMER MEMS,,971,In Stock,,2,2,Cut Tape (CT),497-LSM6DSRXCT-ND,3.67000,£7.34,1,,LSM6DSRXTR,24,https://www.st.com/resource/en/datasheet/lsm6dsrx.pdf,,	-,,Last Time Buy,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),EAR99,8542.39.0070,Italy,,LSM6DSRXTR,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/237/368/497%7E14LGA-.86-2.5X3%7E%7E14_web%28640x640%29.jpg,
8,ZED-F9P-05B,u-blox,HIGH PRECISION GNSS MODULE W RTK,,577,In Stock,,1,1,Cut Tape (CT),672-ZED-F9P-05BCT-ND,97.68000,£97.68,1,U4,ZED-F9P-05B,20,https://content.u-blox.com/sites/default/files/documents/ZED-F9P-05B_DataSheet_UBXDOC-963802114-12824.pdf,,	-,,Active,Unknown,,4  (72 Hours),7A994,8526.91.0020,Austria,,ZED-F9P-05B,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/214/065/MFG_ZED-F9P-05B-top-bottom_web%28640x640%29.jpg,
9,ASTX-H11-16.000MHZ-T,Abracon LLC,XTAL OSC TCXO 16.0000MHZ HCMOS,,"1,443",In Stock,,1,1,Cut Tape (CT),535-12044-1-ND,3.37000,£3.37,1,Y1,ASTX-H11-16.000MHZ-T,12,https://abracon.com/Oscillators/ASTX-H11.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8542.39.0090,Taiwan,https://abracon.com/uploads/resources/REACH-224-SVHC-Certificate-Rev-S-2022-06-17-ABRACON-LLC.pdf,ASTX-H11-16.000MHZ-T,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/633/817/ASTX-H11%20SERIES_web%28640x640%29.jpg,
10,ASTX-H11-24.000MHZ-T,Abracon LLC,XTAL OSC TCXO 24.0000MHZ HCMOS,,995,In Stock,,1,1,Cut Tape (CT),535-12046-1-ND,3.37000,£3.37,1,Y2,ASTX-H11-24.000MHZ-T,12,https://abracon.com/Oscillators/ASTX-H11.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8542.39.0090,Taiwan,https://abracon.com/uploads/resources/REACH-224-SVHC-Certificate-Rev-S-2022-06-17-ABRACON-LLC.pdf,ASTX-H11-24.000MHZ-T,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/633/817/ASTX-H11%20SERIES_web%28640x640%29.jpg,
